period_iters,omega,amplitude,k_real,k_imag,phase,r2_fit
2828,2.22177698e-03,6.24254885e-02,1.60317248e-02,-4.22707247e-04,0.005594,1.0000
2828,2.22177698e-03,6.24254885e-02,1.60317248e-02,-4.22707247e-04,0.005594,1.0000
2828,2.22177698e-03,6.24276357e-02,1.60317323e-02,-4.22742579e-04,0.005587,1.0000
2828,2.22177698e-03,1.60317323e-02,-4.22742579e-04,6.24276357e-02,0.005587,1.69230291e-04,0.980467,1.0000
